boltzmann a,boltzmann b,boltzmann c,Optimistic boltzmann a,Optimistic boltzmann b,Optimistic boltzmann c
6.5558543481,6.5136090394,6.9900484416,10.5416426467,9.7166945786,7.4604789312
6.6184488282,6.4722554233,6.6280282582,10.5685916835,8.1308351402,8.3158985357
6.5209694469,6.6833040524,6.5866406822,9.3785284694,9.6918917758,8.9426599096
6.5549187839,6.1060439031,6.6977438899,8.5713511381,9.0332324541,7.5393486381
6.5911061871,6.264486448,6.7952906229,9.0270433998,8.452749661,9.5097394758
6.6082561318,6.296751336,6.788691018,9.3523156055,8.5501854228,7.1271395294
6.6906995281,6.4028791905,6.8190945303,9.3888657618,10.0816772374,8.8608953084
6.6195261767,6.5578442028,7.0745375398,9.6631805546,9.8493903909,9.0119896458
6.716544476,6.4292018302,6.8984444934,9.5856960709,9.1408901952,7.2911709857
6.5542171847,6.1876110447,6.6198394101,10.0467380704,8.3333240333,7.4697143313
6.5761552944,6.5169469912,6.4625514942,8.9658404132,7.7128583924,7.7259966833
6.6333126882,6.2517946106,6.8016797864,9.3647636265,8.0929147415,8.8544631257
6.6039591154,6.4545095207,6.8456089113,10.5006903645,7.2022059045,8.8548776848
6.7028175925,6.3337484088,6.5578124021,8.1996588132,10.3683163989,8.8291721445
6.3357404454,6.4922677114,6.6285115187,9.7896058932,8.5689270708,8.6363695059
6.7565126822,6.411816676,6.8756088165,10.0545270497,9.3676937959,9.1163957444
6.6128006117,6.7210642713,7.0357101655,9.676970727,9.380309713,7.5368356806
6.7230600182,6.5298297325,6.7092014374,9.3574029463,10.4805931843,9.8065301594
6.7030827438,6.5207998969,6.8641875372,7.299832788,9.249393841,7.6837903747
6.7059569366,6.1072093431,6.6011497901,10.0986167019,8.1244289716,8.8743157831
6.6022767952,6.30444972,6.525634716,9.6980317551,8.9393372522,8.6917684154
6.6099419467,6.2872539179,6.5708064482,9.3601938252,6.6771924935,9.7823311938
6.6581371105,6.6146791019,6.7248327367,10.1645834897,9.2043643084,10.3738357023
