random,egreedy 0,egreedy 0.1,egreedy 0.2,Softmax 1,Softmax 0.1
0.7982842435,0.9169736717,1.116157735,1.1096486992,0.9670421652,1.0709523994
0.7981419133,0.9169399939,1.1166923599,1.1098437367,0.9667537011,1.0714072341
0.7978626153,0.9171224845,1.1171427808,1.1101402326,0.9670691716,1.0718502774
0.7975673829,0.917049099,1.1175714513,1.1105492877,0.9671909031,1.0723825653
0.7975387589,0.9171230303,1.1181888091,1.1109113602,0.9670288534,1.0728749577
0.7974009785,0.9170839059,1.1187262949,1.1114690124,0.9673103612,1.0735571063
0.7973987628,0.9171917692,1.119164702,1.1117139605,0.9675132568,1.0740552783
0.7972315388,0.9172110271,1.1198703127,1.1121389772,0.9677620376,1.0743650514
0.7970866552,0.9173134354,1.1202844584,1.1124216414,0.9676679658,1.0749667367
0.7971092439,0.9174669641,1.1207621819,1.1128186262,0.9680700701,1.0750497709
0.79729952,0.9174249227,1.1215335717,1.1130555286,0.9681042269,1.0754474814
0.7973292481,0.9176696166,1.12197477,1.1134065379,0.9681570805,1.0758311606
0.7970379576,0.9178059835,1.122295604,1.1137292962,0.968027077,1.0764275021
0.7968513026,0.9178651427,1.1228362308,1.1136099979,0.968113529,1.0770465915
0.7971632396,0.9178243163,1.1230791335,1.1138072775,0.9683932845,1.0774443576
0.7975492454,0.9179373178,1.1235156147,1.1142441073,0.9685378532,1.0779322993
0.7976110965,0.9178786262,1.1241403341,1.1144110674,0.9688120583,1.0785894545
0.7974041527,0.9176883308,1.1243166189,1.114696321,0.968857857,1.0791399347
0.7973168046,0.9177784471,1.1246529573,1.1149780137,0.9688752728,1.0796224445
0.7974383977,0.9177548362,1.1251360981,1.1152674516,0.9689665696,1.0801847469
0.797711604,0.9179218907,1.1255886758,1.1156716423,0.9689276499,1.0804494058
0.7980956304,0.9180256184,1.126018243,1.1158192191,0.9689424513,1.0807729119
0.7980700993,0.9181297101,1.126632477,1.1161866104,0.9690648525,1.0812139105
0.7980920887,0.9181568147,1.127068038,1.1164524846,0.9692389684,1.0815290604
0.7980250686,0.918286571,1.127533417,1.116770153,0.9693382579,1.0819847494
0.7980761157,0.9184839663,1.1281284306,1.1170556608,0.9692331798,1.0825073214
0.7979728318,0.9185301205,1.1284615463,1.1173298585,0.9693116245,1.0830232461
0.7981075697,0.9185884273,1.1287091291,1.1177367582,0.9694938354,1.0835206622
0.7981388629,0.91854609,1.1291068574,1.1183427481,0.9697717887,1.0838532907
0.7986191428,0.9187095486,1.1295554777,1.1184352615,0.9699355992,1.0841666701
0.7992817977,0.9185987407,1.1298006104,1.1185905768,0.969663492,1.0846356445
0.7993803228,0.9185607669,1.1301328396,1.1187994928,0.9696841585,1.0848940018
0.7993260444,0.9185379662,1.1303464053,1.1190083612,0.9696106376,1.0852056343
0.7992261295,0.9185218971,1.1307701645,1.1192762335,0.9694346459,1.0855072086
0.7992455361,0.9187613953,1.1312376911,1.1196175691,0.9696096339,1.0859549373
0.7993115898,0.9186681399,1.1317714364,1.120011395,0.9694599452,1.0865211182
0.7993747622,0.9186112996,1.1319325161,1.1200987357,0.9695417877,1.086991995
0.7993286198,0.9186729649,1.1320532383,1.1205317043,0.9697226386,1.0874121006
0.7994080009,0.9185199018,1.1325486464,1.1208020651,0.9697192468,1.0878900273
0.7995580233,0.9185159583,1.1330312337,1.1209111536,0.9694277115,1.0884996432
0.7995982183,0.9183756747,1.1335272469,1.1211105372,0.9695794498,1.0890488855
0.7995873998,0.9183488817,1.1337441915,1.1214984777,0.9694303874,1.0894690864
0.799479006,0.9185114871,1.1340966736,1.1218417946,0.9697298168,1.0898425297
