Random,EGreedy 0.0,EGreedy 0.1,Egreedy 0.2,Softmax 1,Softmax 0.1,Arm 4 mean
0.2945171531,-0.5131235367,-0.6641733333,-0.4092594811,-1.2900466939,-0.7058499576,0.3
0.2909844116,-0.5133477483,-0.6697794604,-0.3963504414,-1.2945488705,-0.7053988402,0.3
0.2861577804,-0.5132957469,-0.6638296073,-0.3871234213,-1.2955852774,-0.7089682349,0.3
0.290280893,-0.5135754621,-0.6524570058,-0.3814041266,-1.2978997089,-0.7097847107,0.3
0.2879411392,-0.514099869,-0.6544108589,-0.3686465821,-1.2973916999,-0.7114424953,0.3
0.2900026011,-0.514574705,-0.6449958868,-0.3651708727,-1.2910708888,-0.7129117233,0.3
0.2938670973,-0.5147430869,-0.6437155217,-0.3482344534,-1.2942069192,-0.7136799,0.3
0.2962343159,-0.5149061938,-0.6392915485,-0.3419647504,-1.2934104243,-0.713674509,0.3
0.2920841295,-0.5153676043,-0.6350506746,-0.3397736998,-1.2913887495,-0.7170337156,0.3
0.2952471916,-0.5156756916,-0.6263048179,-0.3380931221,-1.2913552954,-0.7171129636,0.3
0.2976464537,-0.5157794378,-0.6266455076,-0.3295614674,-1.2911384086,-0.7180733525,0.3
0.2992773926,-0.515961944,-0.627851333,-0.3226531818,-1.2951854865,-0.7185156674,0.3
0.3033329041,-0.5159962508,-0.6290512443,-0.3114359286,-1.2917375544,-0.7191742461,0.3
0.2993405251,-0.516192239,-0.6285846644,-0.3061596452,-1.2911409232,-0.7227775955,0.3
0.3009272871,-0.5163855267,-0.6206689229,-0.297280889,-1.2843025897,-0.7263333777,0.3
0.2993554901,-0.5167604372,-0.6155600781,-0.2913917936,-1.2816367334,-0.7259718934,0.3
0.300380031,-0.5167543162,-0.6069858217,-0.2958714195,-1.2881599827,-0.7268333682,0.3
0.3017402465,-0.5163969291,-0.6091340644,-0.2884546459,-1.2885549149,-0.7280908275,0.3
0.3023686695,-0.5164185322,-0.6110532034,-0.2888356247,-1.2854754038,-0.7283856302,0.3
0.300802157,-0.5162628158,-0.5969885866,-0.2906721885,-1.2844259937,-0.7287952588,0.3
0.3018307266,-0.5162609175,-0.5956379039,-0.2926433961,-1.2795586443,-0.730790501,0.3
0.3063269761,-0.5169120957,-0.5919703891,-0.2909398589,-1.2791068547,-0.7316550366,0.3
0.3057177775,-0.5170003516,-0.5848837901,-0.2849434642,-1.2841713872,-0.7325589537,0.3
0.3071314017,-0.5170943229,-0.5824273994,-0.2788650807,-1.2799716956,-0.7323431124,0.3
0.3081056427,-0.5169856074,-0.5744433663,-0.2684581631,-1.2742435119,-0.7327382105,0.3
0.3080573065,-0.5171335153,-0.5688751268,-0.2572999826,-1.2727440851,-0.7330222284,0.3
0.3103223094,-0.5173752212,-0.5660154853,-0.2555046356,-1.2661548659,-0.7327950652,0.3
0.3088006222,-0.5173078412,-0.5592714627,-0.2513208192,-1.2670576136,-0.7333094972,0.3
0.3083540074,-0.5177281195,-0.5546864804,-0.2488221068,-1.2662195992,-0.7337359246,0.3
0.3073352799,-0.5177667629,-0.553500243,-0.2479225037,-1.265002136,-0.7337972564,0.3
0.3106937674,-0.5179992816,-0.550762164,-0.2422093832,-1.2596817604,-0.7337186161,0.3
0.3082693997,-0.5179193741,-0.5584844683,-0.2375106399,-1.2590145159,-0.7338200097,0.3
0.3075796851,-0.5179218539,-0.5574910836,-0.2383373309,-1.2584952845,-0.7337360272,0.3
0.305907972,-0.5180235726,-0.5568801828,-0.2345672674,-1.2577152946,-0.7365638396,0.3
0.3084252581,-0.5179684058,-0.543588301,-0.2325951147,-1.2560540522,-0.736395918,0.3
