Random,EGreedy 0.0,EGreedy 0.1,EGreedy 0.2,Softmax 1,Softmax 0.1
0.8129517923,0.9292617136,0.9136956669,0.9347194137,0.9266790766,0.9543406078
0.8126970789,0.9282642672,0.9151563854,0.9385237413,0.9261866172,0.9537347606
0.8120721253,0.9294269242,0.9170036315,0.9412645847,0.9300962913,0.9562847633
0.8127509409,0.9308156178,0.9200266604,0.9409646101,0.9304213939,0.9589381087
0.8148232694,0.932210086,0.921546073,0.9423619643,0.930686127,0.9617097486
0.8142813961,0.9321273876,0.922902497,0.9456134388,0.9314795904,0.9646613658
0.8119282107,0.9329884472,0.9249919499,0.9465865712,0.9327359586,0.9653951561
0.8104186703,0.9348280583,0.9292868954,0.9481538282,0.9335259254,0.9686480615
0.8103157152,0.9347886335,0.932655836,0.9497916394,0.9351402021,0.9723302155
0.8066113089,0.933870695,0.9349306592,0.9506984386,0.93616743,0.9748412272
0.8081956611,0.9347730878,0.9381326493,0.9496037656,0.9354851422,0.9754281459
0.8063195114,0.9349369603,0.9399037039,0.9531319068,0.9351976121,0.9753624919
0.8052134939,0.9362339706,0.9415079605,0.9545731439,0.9355627417,0.9754984117
0.8054542794,0.9373265221,0.9420261003,0.9564848443,0.9365482257,0.9743643529
0.805174561,0.9372724117,0.9453310286,0.9582693372,0.9368865757,0.9759314043
0.8044347779,0.9375121013,0.9475755312,0.9605157901,0.9379299766,0.9772152225
0.8041838497,0.9377973036,0.9495404094,0.9601848808,0.9387867081,0.9782593756
0.8009861203,0.9380098551,0.9524195971,0.9614793194,0.9399593783,0.9792768718
0.7992983695,0.938415325,0.95556442,0.962147882,0.9409238956,0.9798289005
0.8001613693,0.939600787,0.9574649167,0.964229845,0.9408091259,0.9807650756
0.8012146272,0.9399599629,0.9583121169,0.9656020465,0.9397104724,0.9821423014
0.8024776309,0.9410699739,0.9589623948,0.9680193827,0.9426421572,0.9834848376
0.8031097682,0.9400060788,0.9600679224,0.9688964337,0.9445481977,0.9843670566
0.8027138701,0.9398656898,0.9619349974,0.9695133484,0.9442752038,0.9859884521
0.8020031487,0.9392858723,0.9646325471,0.9717709109,0.9450814583,0.9873373834
0.8015768736,0.9396262951,0.9674856792,0.9736256168,0.9441758428,0.9884543167
0.802366908,0.9400403535,0.9697115606,0.9742621763,0.9437917115,0.988818797
0.8027381986,0.9402716052,0.9708634828,0.9748071904,0.9438215781,0.9899514454
0.8022636962,0.93947167,0.9715217457,0.9757019951,0.9444342337,0.9909033512
0.8021129498,0.9399635555,0.972861289,0.9774295072,0.9457716076,0.9895272104
0.8015589672,0.9395890877,0.9735711378,0.9795864442,0.9472132841,0.9903187856
0.8016836717,0.9396137222,0.975134713,0.9806270493,0.9483958949,0.9907443023
0.8014177463,0.9400636786,0.9766281218,0.982143042,0.9487985615,0.9909266452
0.8017358515,0.9407869505,0.9791239856,0.9837593174,0.9488179138,0.9919987545
0.8016821854,0.9413178146,0.9809238996,0.9847382306,0.9493016392,0.9934215176
0.7996768569,0.9406784937,0.9823984204,0.9850269338,0.9493331734,0.9957443921
0.7995394577,0.9406194844,0.9838813012,0.9870390662,0.9502728463,0.9957244569
0.7991847081,0.9402565668,0.9856631628,0.9892021636,0.9510045123,0.9968388682
0.7984314623,0.9408174384,0.9868813587,0.9920252698,0.9500310632,0.9967090567
0.7981712619,0.9408872894,0.988870682,0.9939458059,0.9506082225,0.9967378917
0.7972573187,0.9413290847,0.9910770181,0.9947249663,0.9516812328,0.998134406
0.7980454687,0.9420189176,0.9936130215,0.9952462266,0.9525389539,0.9986109914
0.7980626203,0.9420342359,0.9965243317,0.9966965429,0.9524969089,0.9996816371
0.7967982851,0.9417143793,0.997547931,0.9975289111,0.9528347668,0.9995229395
0.7961752772,0.9428898117,0.9985752789,0.9983008823,0.9522834379,0.9999530773
0.7974211641,0.9429972597,0.999925462,0.9990843706,0.9528981531,1.0009158133
0.7983994299,0.9432916618,0.9997090016,1.0004781053,0.9538096186,1.0009950141
0.7990331627,0.9436810544,1.0010428024,1.0016788008,0.9545506921,1.0017028476
0.7990390138,0.9438117427,1.0012118214,1.0031106825,0.9541612328,1.0020454014
0.7981077844,0.9442451736,1.0033291292,1.0029515837,0.9539428891,1.0019528966
0.7996904105,0.9440725493,1.0055138486,1.0034520784,0.9545533408,1.0032310733
