eGreedy time,Softmax Time
1.1818261442,0.8417041973
1.1820468463,0.8417697511
1.1821655908,0.8418159101
1.1823843969,0.8417875636
1.1826101247,0.8418929762
1.1828089647,0.8419070255
1.1829666518,0.841967108
1.1831200234,0.8420927374
1.1831824153,0.8421921485
1.183381174,0.8421779561
1.1834835749,0.842205608
1.1835294143,0.8421044094
1.1835849576,0.8420105281
1.183752881,0.8420847612
1.1839291848,0.8421872995
1.1840201013,0.8421418402
1.1841860635,0.8420536503
1.1843531733,0.8420927574
1.1844625669,0.8421749048
1.1846865112,0.8422836223
1.1847587259,0.8423214527
1.1848689932,0.8423786362
1.1850595484,0.8422952589
1.1851812825,0.8423126753
1.1853685367,0.8423475908
1.1854877573,0.8425460301
1.1856444664,0.842549422
1.185725304,0.842569868
1.1858553044,0.842536182
1.1859726663,0.8426177273
1.1861402492,0.8426788957
1.1863143617,0.8426621995
1.1863364526,0.8427294964
1.1864568415,0.8427402004
1.1866088607,0.8428556219
1.1867947361,0.8426491633
1.1868910439,0.8426550113
1.1870514415,0.8426762115
1.1871788232,0.8427209805
1.1873429485,0.8427851673
1.1874724369,0.8428245424
1.1876813144,0.8427036992
1.1877949223,0.8426422522
1.1878642113,0.8427126688
1.188090293,0.8427211748
1.1882079324,0.8426014264
1.1883428344,0.8427431773
1.1884066572,0.8427872749
1.1885807881,0.8427513085
1.1887704742,0.8428570858
1.1888175434,0.8429768424
1.1889402558,0.8430913287
1.1890358937,0.84326751
1.1891742707,0.8432680473
1.1892126504,0.8433177249
1.1893611531,0.8432778898
1.1894838615,0.8432656778
1.1895584609,0.8433170932
1.1895508326,0.8433059794
1.1896598023,0.8432727164
1.1897841281,0.8434158189
1.1898556874,0.8435219746
1.189995961,0.8435659689
1.1901392274,0.8436595705
1.19028644,0.8437075212
1.1904883004,0.8437762516
1.1906695922,0.8436923149
1.1907733149,0.843692921
1.1908227732,0.8436406437
1.190923978,0.8435825462
1.1910650826,0.8435725413
1.1912195088,0.8437433969
1.1913573158,0.8438240059
1.1914606676,0.8438625541
1.1915116702,0.8438766291
1.1916299424,0.8439857297
1.1917260832,0.8440168723
1.1918422542,0.8439795457
1.191838741,0.8440684598
1.1919634797,0.8440138298
1.1920154719,0.8439565584
1.1921866011,0.8440407461
1.1923608102,0.8440862945
1.1924847998,0.8441101589
1.1926285299,0.8442107622
1.1928028675,0.8444091967
1.1929865743,0.8444128982
1.193027513,0.8444687182
1.1930929853,0.8445481639
1.1932009914,0.844523654
1.1933020405,0.8445722075
1.193397963,0.8445497341
1.1934779383,0.8445163114
1.1935698563,0.8444821723
1.1936464173,0.8445813762
1.1936995278,0.8446236691
1.1937281435,0.8446252475
1.1938575035,0.8445231346
1.1939243586,0.8446885818
1.1939977029,0.8447999224
1.1941433454,0.8449080957
1.1942776994,0.8450128256
1.1943519546,0.8450098929
1.1944226249,0.8450956806
1.1944965034,0.8451239713
1.194666433,0.845148067
1.1948509076,0.8452017765
1.1949201248,0.8451525237
1.1948968357,0.8450336836
1.1949623666,0.8450649064
1.1950752732,0.8451182461
1.1951177602,0.845191412
1.1951485757,0.8451093659
1.1952572045,0.8452247353
1.1953609561,0.8451872033
1.1954590928,0.8452054175
1.1955742888,0.8453175895
1.1955960262,0.8454082111
1.195618153,0.8454090734
1.1957617926,0.845442788
1.1958667627,0.8453756187
1.1959895964,0.8454814168
1.1960534865,0.8455205826
1.1961686561,0.8454824507
1.1963399421,0.8455040478
1.1964374297,0.8455337616
1.1965643485,0.8455174218
1.1966926743,0.8455475361
1.1968175531,0.8456912811
1.1969065847,0.8456916368
1.1969862211,0.8456992553
1.1971052012,0.8456717626
1.1972063289,0.8457473502
1.1973500004,0.8456685537
1.1974087418,0.8456920884
1.1975764622,0.8455910455
1.1975855311,0.84558837
1.1975531057,0.8456197201
1.1975925656,0.8456674803
1.1976874295,0.8456865472
1.1978433359,0.8456194407
1.197942655,0.8455381141
1.1979794316,0.8455856233
1.1981084664,0.8456943469
1.1981830422,0.8457782925
1.1981948468,0.8459421727
1.1982490773,0.8459746977
1.1983098158,0.8459641934
1.1983925533,0.8458416804
1.198517397,0.8459657913
1.1986542879,0.8459339023
1.1987574309,0.8459146672
1.1988770304,0.8459555443
1.1988824577,0.8459668673
1.1989961253,0.8459210332
1.1991197202,0.8459514527
1.1992008682,0.8460004826
1.1992664952,0.8460377259
1.1993407747,0.8459865151
1.1994487895,0.8460491888
1.199537786,0.8461186105
1.1997036582,0.8461409434
1.1998051581,0.8461778522
1.1998876925,0.8461433774
1.1999899329,0.8460783595
1.200154978,0.8461424264
1.2002283194,0.8462767847
1.2002795363,0.846171854
1.2003240881,0.8462011406
1.2004098994,0.8462188207
1.2004865576,0.8462361493
1.2005869399,0.846279653
1.2006873711,0.8463159914
1.200783311,0.8463372994
1.2008621227,0.8463301234
1.2009842764,0.8463199201
1.2011093601,0.8463127849
1.2012477962,0.8462933322
1.2013365003,0.8463416932
1.2014335486,0.8463521893
1.2015520324,0.8463882056
1.2016703572,0.846372533
1.2017510582,0.8463687572
1.2017861762,0.8464455855
1.2018888125,0.8464686546
1.2019863118,0.8464465384
1.2020677234,0.8465453013
1.2021269973,0.8465709139
1.202222001,0.846649376
1.2022819893,0.8466330397
1.2024088476,0.8467030638
1.2025289871,0.8467264499
1.2026279225,0.846727778
1.2026565301,0.8467216622
1.2026636482,0.8466633744
1.2028430685,0.8466595549
1.2030053738,0.8466994924
1.2030719853,0.8467697283
1.2031846653,0.8468195734
1.2032331365,0.8469594597
1.2033059035,0.8469677943
1.2033901793,0.8470263354
1.2035089771,0.8471800656
1.2035909662,0.8471399356
1.203674517,0.8471522683
1.2038403905,0.8471588675
1.20395279,0.847161569
1.2040225714,0.847326193
1.20412685,0.8474735733
1.2042386778,0.8475314594
1.2042930237,0.8476462112
1.2044106879,0.8478450636
1.2044358164,0.8479499728
1.2044806072,0.8479252235
1.2045489598,0.8479910269
1.2045948111,0.8481094787
1.2047117356,0.8482565854
1.2047871383,0.8483479343
1.2048600895,0.8483807354
1.2049779301,0.8484403171
1.2050582117,0.8484562478
1.2051736161,0.8485862946
1.2051968729,0.848635133
1.2052651164,0.8486808697
1.2053379414,0.8487019333
1.2054619595,0.8487065265
1.2055345658,0.8487005086
1.2056077075,0.8487438658
1.2056696695,0.8486817011
1.2057622547,0.8487189379
1.2058194618,0.8487209981
1.2059149847,0.8486795461
1.2059893654,0.8487645422
1.2060462519,0.8488700569
1.2061601398,0.8489316172
1.2062745154,0.8489760079
1.2062930845,0.848999572
1.206352405,0.8491953623
1.2064180384,0.8492567234
1.2064794685,0.8492829719
1.2064779293,0.8493728666
1.2065387226,0.849440238
1.206576882,0.8495391248
1.2066605062,0.8495303324
1.2067078618,0.8495779567
1.2068197964,0.8496286194
1.2068662796,0.8497053862
1.2069413849,0.8497653795
1.2070006336,0.8498715092
1.2070823891,0.849968623
1.2071915683,0.8499541676
1.2072253602,0.8500678949
1.2072992008,0.8501742354
1.2073349552,0.8502205319
1.2073691893,0.8502774011
1.2074942385,0.8504137461
1.2075843767,0.8505691821
1.2076661713,0.8506433947
1.2077569821,0.8507207988
1.2078182808,0.8508227874
1.2079122081,0.8508625304
1.2079777757,0.8509590625
1.2080740125,0.8510582842
1.2081438701,0.8510203377
1.2081568434,0.8510104261
1.2082087341,0.8510434798
1.2082513338,0.8511195904
1.2083512559,0.8512645278
1.2083874473,0.8512887733
1.2084165252,0.8513991747
1.2084187357,0.85148084
1.2084971202,0.8515049398
1.2086124036,0.8515745336
1.2086490192,0.8516760613
1.2086714262,0.8517193767
1.2086689033,0.8518184358
1.2086786337,0.8519024393
1.2087509228,0.8519661605
1.2087430717,0.8520524765
1.2087664974,0.8520701523
1.208830861,0.8521137629
1.2088853452,0.8521233116
1.2089663347,0.8521538541
1.2090168207,0.852267001
1.2091076297,0.8523257433
1.2092086254,0.8523830241
1.2092385312,0.852427699
1.2093119993,0.8525348845
