eGreedy time,Softmax time,Arm 2 mean
1.0562508214,1.0979347385,1.1
1.0562156123,1.0979036558,1.1
1.0562522108,1.0979293038,1.1
1.056231163,1.0979558275,1.1
1.0562212105,1.0978204279,1.1
1.0561679609,1.0978954603,1.1
1.0560085896,1.0979859239,1.1
1.0560479263,1.0978946646,1.1
1.0560546566,1.0980173284,1.1
1.055864896,1.0980266637,1.1
1.0560192685,1.0979828133,1.1
1.0561165497,1.0978456558,1.1
1.0562842761,1.0979236249,1.1
1.0563770085,1.0980099846,1.1
1.05632252,1.0980017091,1.1
1.0561775829,1.0980802896,1.1
1.0562313587,1.0980550719,1.1
1.0563001003,1.0980397524,1.1
1.0562007126,1.0980045118,1.1
1.0561724094,1.098034279,1.1
1.0560177363,1.0980254894,1.1
1.0560156363,1.0980117978,1.1
1.0558957449,1.0979998378,1.1
1.0559485737,1.0979815872,1.1
1.0560968443,1.0979273344,1.1
1.0560267513,1.0979152362,1.1
1.0558910637,1.097889581,1.1
1.0559525452,1.0979377858,1.1
1.0561486506,1.098028664,1.1
1.0561123499,1.0981698963,1.1
1.0560618247,1.0981475571,1.1
1.056199395,1.0982192499,1.1
1.0562938657,1.0983429956,1.1
1.0561210599,1.0982843194,1.1
1.0562141954,1.0982389956,1.1
1.05638132,1.09828182,1.1
1.0563802589,1.09832485,1.1
1.0564427527,1.0983729975,1.1
1.0565532696,1.0983609389,1.1
1.0563778177,1.0982355094,1.1
1.0563296889,1.098306535,1.1
1.056492064,1.0982330287,1.1
1.0565469512,1.098293292,1.1
1.0565896417,1.0981898751,1.1
1.0564500362,1.0981349268,1.1
1.0565566119,1.0981229092,1.1
1.0566372241,1.0981907671,1.1
1.0566029873,1.0982066637,1.1
1.0567805613,1.0982401194,1.1
1.0567887943,1.0982553594,1.1
1.0568105774,1.098248614,1.1
1.0568718937,1.0982019271,1.1
1.056839798,1.098195487,1.1
1.0569053784,1.0981752804,1.1
1.0570278768,1.0982167718,1.1
1.0569534938,1.0981550657,1.1
1.0569082981,1.0981648775,1.1
1.0567397903,1.0981712697,1.1
1.0567250723,1.0982048637,1.1
1.0566509721,1.0982368664,1.1
1.0567337141,1.098212483,1.1
1.0568030628,1.098198351,1.1
1.0567157197,1.0982192905,1.1
1.0566669227,1.0982858314,1.1
1.056710139,1.0982447354,1.1
1.0568391144,1.0982235354,1.1
1.0567878808,1.0981710462,1.1
1.056788362,1.0981419109,1.1
1.0568054034,1.0981868891,1.1
1.0572292342,1.0983018622,1.1
1.0571985568,1.0983169879,1.1
1.0572357652,1.0983795038,1.1
1.057049159,1.0984045807,1.1
1.0570752677,1.0984233745,1.1
1.0571442801,1.0983503131,1.1
1.0571998684,1.0983871063,1.1
1.05726779,1.0985054254,1.1
1.0573772081,1.0985402192,1.1
1.0574644718,1.0986197185,1.1
1.0574395432,1.0985056064,1.1
1.0574256751,1.0984421432,1.1
1.0574218628,1.0984282521,1.1
1.0575471696,1.0983971629,1.1
1.0574764455,1.0984612583,1.1
1.0575124541,1.0984334137,1.1
1.0573666792,1.0984457881,1.1
1.0574403504,1.0984317841,1.1
1.0574155598,1.0982840544,1.1
1.0574422549,1.098295356,1.1
1.0574332249,1.0981759848,1.1
1.0575061045,1.0982601446,1.1
1.0576980998,1.0983068337,1.1
1.0577407061,1.0982861251,1.1
1.0578703193,1.0983234752,1.1
1.0579354956,1.0983257979,1.1
1.0579306933,1.0982824348,1.1
1.0579004234,1.0983052904,1.1
1.0579514173,1.0982863146,1.1
1.0581610659,1.0981824518,1.1
1.0581803766,1.0981694915,1.1
1.058245862,1.098148288,1.1
1.0584405407,1.0981629757,1.1
1.0585589517,1.0981379798,1.1
1.058643906,1.0982090121,1.1
1.0587103103,1.0981886949,1.1
1.058738085,1.0981368996,1.1
1.0585231937,1.0981774627,1.1
1.0584442868,1.0981935859,1.1
1.0587159253,1.0981590911,1.1
1.0588351317,1.0981443097,1.1
